"Product Name","Installed Base Track","IP Type","Product: Created Date","Product Family","Product Group","Product Family Group","Product Service Group","Sibex Name","AARO Code","Business Area","Business Responsible","Product Group Description","Item Group","Item Group Description","Active (Product)","Product Code","Movex Part Number","Oracle CPQ Cloud Part Number","Status","Movex Full Description","Product: Created By"
"XVI SOFTWARE R5.0.4","Yes","Software","11/4/2016","Linac","EOS2","Oncology","XVI SOFTWARE","XVI SOFTWARE","SYNE","200","DIV200","EOS Service And Spares Parts","355","Synergy XVI","1","1522542","1522542","1522542","Released","XVI SOFTWARE R5.0.4","Movex IntegrationUser"
"MRT 23471 KIT, MQ PC MK2","Yes","Product","12/23/2016","Linac","EOS2","Oncology","LINAC CONTROL SYSTEM MODULE (MOSAIQ SEQ)","MOSAIQ SEQUENCER (MQ SEQ) TSCC MODULE","EOS5","200","DIV200","EOS Service And Spares Parts","357","AGILITY","1","1529539","1529539","1529539","Released","MRT 23471 KIT, MQ PC MK2","Movex IntegrationUser"
"IGUIDE®TRACK. SYST.-SP. (REP.)","Yes","Part","1/20/2017","Linac","MFIX","PPS","iGUIDE Tracking System","iGUIDE Tracking System","MFIX","200","DIV200","MI Patient Fixation device","P10602","MI HexaPOD","1","03-999-1039-R","03-999-1039-R","03-999-1039-R","Use then remove from assortment","IGUIDE®TRACKING SYSTEM-SPECTRA (repaired)","Movex IntegrationUser"
"SOFTWARE MASTER,IVIEWGT R3.4.1","Yes","Software","1/27/2017","Linac","EOS2","Oncology","IVIEWGT SOFTWARE","IVIEWGT SOFTWARE","EOS5","200","DIV200","EOS Service And Spares Parts","335","iViewGT","1","1514745","1514745","1514745","Released","SOFTWARE MASTER,IVIEWGT R3.4.1","Movex IntegrationUser"
"RESPONSE CONTROL BOX","Yes","Part","2/17/2017","Linac","EOS2","Oncology","RESPONSE CONTROL MODULE","RESPONSE CONTROL BOX","EOS5","200","DIV200","EOS Service And Spares Parts","357","AGILITY","1","1530320","1530320","1530320","Released","RESPONSE CONTROL BOX*PART NO.11-201-01","Movex IntegrationUser"
"MRT 27581,IVGT,LIC MATH RESOL","Yes","Feature","2/17/2017","Linac","EOS2","Oncology","IVIEWGT SOFTWARE LICENSE","","EOS5","200","DIV200","EOS Service And Spares Parts","335","iViewGT","1","1530836","1530836","MRT 27581","Released","MRT 27581,IVIEWGT,LINAC SPEC LICENSE ACTIV,MATH RESOLUTIONS","Movex IntegrationUser"
"MRT 27571,IVGT,LIC SUN NUCLEAR","Yes","Feature","2/17/2017","Linac","EOS2","Oncology","IVIEWGT SOFTWARE LICENSE","IVIEWGT SUN NUCLEAR LICENSE","EOS5","200","DIV200","EOS Service And Spares Parts","335","iViewGT","1","1530829","1530829","MRT 27571","Released","MRT 27571,IVIEWGT,LINAC SPEC LICENSE ACTIV,SUN NUCLEAR CORP","Movex IntegrationUser"
"MRT 27601,IVGT,LIC DOSISOFT QA","Yes","Feature","2/17/2017","Linac","EOS2","Oncology","IVIEWGT SOFTWARE LICENSE","IVIEWGT DOSISOFT LICENSE","EOS5","200","DIV200","EOS Service And Spares Parts","335","iViewGT","1","1530840","1530840","MRT 27601","Released","MRT 27601,IVIEWGT,LINAC SPEC LICENSE ACTIV,DOSISOFT QA TOOL","Movex IntegrationUser"
"MRT 19991,ELEKTA RESPONSE KIT","Yes","Product","2/17/2017","Linac","EOS2","Oncology","RESPONSE","RESPONSE","EOS5","200","DIV200","EOS Service And Spares Parts","337","Active Breathing Coordinator","1","1530322","1530322","1530322","Released","MRT 19991,ELEKTA RESPONSE KIT*PART NO. 11-201","Movex IntegrationUser"
"SISO ASSY","Yes","Product","3/3/2017","MR Linac","ATSV","Unity","UNITY SISO ASSY","UNITY SISO ASSY","ATLA","200","DIV452","MR Guided Radiation Therapy Service","401","ATLANTIC MRI LINAC","1","1528780","1528780","1528780","Released","SISO ASSY","Movex IntegrationUser"
